handicap,swing_speed,driver_carry,shot_shape,goal,iron_miss,iron_feel,wedge_turf,divot_depth,driver_loft,shaft_flex,fairway_wood_loft,iron_category,wedge_bounce
19.1,85.3,194,Slice,Distance,Left/Right,No preference,Soft,Medium,10.5,R,18,players-distance,High
18.1,96.7,230,Slice,Forgiveness,Inconsistent,No preference,Soft,Deep,9,R,16.5,super-game-improvement,High
19.0,84.5,194,Straight,Accuracy,Left/Right,No preference,Firm,Medium,10.5,R,18,players-distance,Low
24.8,67.0,164,Hook,Forgiveness,Fat/Thin,Confidence-inspiring,Normal,Deep,12,S,21,blade,High
19.0,80.5,196,Fade,Forgiveness,Left/Right,Forged/Blade-like,Firm,Medium,12,A,21,players-distance,Low
23.1,85.3,212,Straight,Forgiveness,Left/Right,Confidence-inspiring,Firm,Medium,12,R,21,super-game-improvement,Low
17.6,90.5,231,Straight,Distance,Consistent,No preference,Firm,Medium,12,L,18,players-cb,Low
19.6,74.5,188,Straight,Distance,Left/Right,Confidence-inspiring,Normal,Medium,12,A,21,game-improvement,Mid
22.7,76.8,168,Slice,Forgiveness,Fat/Thin,Confidence-inspiring,Firm,Deep,12,A,21,super-game-improvement,Mid
3.9,99.4,222,Fade,Accuracy,Consistent,Confidence-inspiring,Firm,Shallow,9,S,16.5,blade,Low
14.1,89.2,209,Straight,Accuracy,Inconsistent,Confidence-inspiring,Normal,Shallow,10.5,R,18,game-improvement,Low
12.8,83.6,191,Straight,Forgiveness,Inconsistent,Forged/Blade-like,Normal,Medium,12,A,21,super-game-improvement,Mid
11.3,90.6,198,Fade,Distance,Left/Right,Forged/Blade-like,Firm,Shallow,10.5,R,15,blade,Low
14.5,86.2,197,Straight,Distance,Inconsistent,Forged/Blade-like,Normal,Medium,10.5,R,18,players-cb,Mid
30.5,78.3,178,Fade,Forgiveness,Inconsistent,Confidence-inspiring,Firm,Deep,12,A,21,super-game-improvement,Mid
9.2,103.1,234,Fade,Accuracy,Fat/Thin,Forged/Blade-like,Soft,Medium,9,L,16.5,blade,High
25.7,77.4,178,Draw,Accuracy,Left/Right,Confidence-inspiring,Normal,Shallow,12,A,21,super-game-improvement,Low
1.9,103.1,258,Fade,Forgiveness,Consistent,Forged/Blade-like,Soft,Medium,9,S,16.5,blade,High
14.0,92.9,221,Fade,Distance,Left/Right,Forged/Blade-like,Firm,Shallow,10.5,R,16.5,players-cb,Low
18.5,81.0,222,Straight,Distance,Consistent,Confidence-inspiring,Soft,Deep,10.5,A,18,players-distance,High
22.3,74.3,177,Straight,Forgiveness,Fat/Thin,Confidence-inspiring,Normal,Deep,12,A,21,players-distance,Low
23.4,74.5,171,Draw,Distance,Left/Right,Confidence-inspiring,Firm,Medium,12,A,21,super-game-improvement,Low
24.1,75.8,178,Draw,Accuracy,Fat/Thin,Confidence-inspiring,Soft,Deep,12,A,21,super-game-improvement,Mid
13.9,83.9,200,Slice,Distance,Fat/Thin,No preference,Firm,Deep,10.5,S,18,game-improvement,Mid
12.8,94.4,227,Straight,Distance,Left/Right,No preference,Firm,Medium,10.5,R,16.5,players-distance,Low
24.7,84.7,226,Slice,Distance,Inconsistent,No preference,Soft,Shallow,10.5,R,18,super-game-improvement,Mid
15.3,79.3,175,Draw,Distance,Fat/Thin,No preference,Firm,Deep,12,A,21,game-improvement,Mid
5.5,101.9,251,Straight,Forgiveness,Consistent,Forged/Blade-like,Normal,Medium,9,S,16.5,blade,Mid
6.8,98.6,234,Draw,Accuracy,Consistent,Confidence-inspiring,Firm,Shallow,9,S,16.5,players-cb,Low
8.7,100.4,216,Fade,Forgiveness,Consistent,Forged/Blade-like,Firm,Shallow,9,S,16.5,blade,Low
21.5,83.2,206,Straight,Distance,Fat/Thin,No preference,Firm,Deep,10.5,A,18,game-improvement,Mid
18.3,76.8,197,Draw,Forgiveness,Left/Right,No preference,Firm,Shallow,12,A,21,super-game-improvement,Low
23.2,72.5,159,Slice,Forgiveness,Left/Right,No preference,Normal,Shallow,12,A,21,super-game-improvement,Low
13.2,93.0,218,Hook,Accuracy,Inconsistent,No preference,Normal,Medium,9,R,16.5,players-cb,Mid
18.4,94.0,198,Straight,Accuracy,Inconsistent,No preference,Firm,Deep,10.5,A,16.5,game-improvement,Mid
22.6,66.5,140,Slice,Distance,Consistent,No preference,Normal,Deep,12,L,21,game-improvement,High
14.2,94.1,235,Slice,Accuracy,Inconsistent,No preference,Firm,Shallow,10.5,R,16.5,game-improvement,Low
21.1,92.1,210,Straight,Distance,Left/Right,Confidence-inspiring,Normal,Shallow,10.5,R,16.5,game-improvement,Low
11.0,94.3,207,Slice,Forgiveness,Inconsistent,No preference,Soft,Medium,10.5,R,21,players-cb,High
13.7,96.1,229,Fade,Accuracy,Inconsistent,Confidence-inspiring,Soft,Deep,9,R,16.5,game-improvement,High
13.6,87.4,199,Draw,Forgiveness,Fat/Thin,Confidence-inspiring,Soft,Medium,12,R,21,super-game-improvement,High
6.2,100.0,229,Slice,Accuracy,Consistent,No preference,Firm,Shallow,9,X,16.5,players-cb,Low
21.4,72.0,179,Hook,Forgiveness,Left/Right,No preference,Firm,Shallow,12,A,21,super-game-improvement,Low
12.8,76.9,166,Straight,Forgiveness,Inconsistent,No preference,Soft,Medium,12,A,21,super-game-improvement,High
17.1,94.9,211,Draw,Forgiveness,Fat/Thin,Forged/Blade-like,Firm,Deep,10.5,R,21,game-improvement,Mid
21.3,76.6,182,Straight,Forgiveness,Inconsistent,Confidence-inspiring,Soft,Medium,12,A,21,super-game-improvement,High
21.0,80.7,202,Fade,Forgiveness,Inconsistent,Confidence-inspiring,Normal,Medium,10.5,A,15,super-game-improvement,Mid
23.0,71.8,185,Straight,Forgiveness,Inconsistent,Forged/Blade-like,Firm,Deep,12,L,21,super-game-improvement,High
16.1,79.6,178,Straight,Distance,Inconsistent,No preference,Soft,Medium,12,A,21,game-improvement,High
13.2,91.6,227,Draw,Accuracy,Fat/Thin,Confidence-inspiring,Normal,Deep,10.5,R,18,super-game-improvement,High
16.3,84.1,187,Straight,Forgiveness,Inconsistent,Forged/Blade-like,Soft,Medium,8,X,21,players-distance,High
1.8,108.6,279,Fade,Accuracy,Left/Right,Forged/Blade-like,Normal,Deep,8,X,15,blade,High
4.0,106.6,236,Straight,Distance,Left/Right,Confidence-inspiring,Firm,Medium,8,X,15,players-cb,Low
5.1,104.4,263,Slice,Forgiveness,Consistent,Forged/Blade-like,Soft,Shallow,8,S,18,blade,Low
8.0,100.5,228,Straight,Distance,Left/Right,Forged/Blade-like,Firm,Medium,9,S,16.5,blade,Low
20.6,95.4,250,Draw,Forgiveness,Fat/Thin,Confidence-inspiring,Normal,Deep,9,R,18,super-game-improvement,Mid
8.9,90.3,220,Hook,Forgiveness,Fat/Thin,Forged/Blade-like,Normal,Shallow,12,R,21,players-distance,Low
13.6,92.0,203,Draw,Accuracy,Left/Right,Confidence-inspiring,Soft,Shallow,10.5,R,16.5,players-cb,Mid
28.7,82.9,188,Straight,Distance,Left/Right,Confidence-inspiring,Soft,Medium,10.5,A,18,super-game-improvement,High
13.8,101.0,248,Fade,Forgiveness,Inconsistent,Forged/Blade-like,Normal,Shallow,9,S,16.5,game-improvement,Low
23.6,70.9,180,Straight,Accuracy,Fat/Thin,Confidence-inspiring,Soft,Medium,12,L,21,super-game-improvement,High
8.6,95.9,224,Straight,Accuracy,Left/Right,No preference,Firm,Shallow,9,R,16.5,blade,Low
15.2,100.0,236,Fade,Distance,Inconsistent,No preference,Firm,Medium,9,S,16.5,players-distance,Low
8.4,101.9,249,Slice,Distance,Left/Right,No preference,Soft,Shallow,9,S,16.5,players-cb,Mid
13.9,93.4,221,Hook,Accuracy,Left/Right,No preference,Normal,Shallow,10.5,R,16.5,players-distance,Low
24.6,78.2,167,Straight,Distance,Inconsistent,Confidence-inspiring,Normal,Shallow,12,A,21,super-game-improvement,Low
1.5,103.6,233,Draw,Distance,Left/Right,No preference,Firm,Medium,9,S,16.5,blade,Low
20.9,86.0,205,Draw,Forgiveness,Left/Right,Confidence-inspiring,Firm,Shallow,12,R,21,super-game-improvement,Low
19.1,84.3,214,Hook,Distance,Left/Right,Forged/Blade-like,Soft,Shallow,10.5,R,18,blade,Mid
11.7,94.2,242,Straight,Forgiveness,Inconsistent,No preference,Soft,Medium,10.5,R,21,game-improvement,High
4.0,104.0,255,Straight,Distance,Consistent,Forged/Blade-like,Soft,Medium,9,S,15,blade,Low
17.6,83.0,199,Slice,Forgiveness,Inconsistent,No preference,Normal,Shallow,12,A,21,super-game-improvement,Low
12.2,97.7,239,Hook,Distance,Left/Right,Forged/Blade-like,Normal,Shallow,9,S,16.5,players-cb,Low
19.1,106.4,241,Straight,Distance,Left/Right,Confidence-inspiring,Firm,Deep,8,X,15,players-distance,Low
17.2,75.8,176,Straight,Accuracy,Fat/Thin,No preference,Firm,Shallow,12,A,21,game-improvement,Low
31.4,74.2,164,Slice,Distance,Left/Right,Confidence-inspiring,Normal,Medium,10.5,A,21,super-game-improvement,Mid
14.8,85.7,185,Fade,Accuracy,Left/Right,Forged/Blade-like,Normal,Medium,10.5,R,18,players-cb,Mid
7.8,103.1,247,Straight,Accuracy,Fat/Thin,Confidence-inspiring,Firm,Medium,9,S,16.5,players-distance,Low
18.6,86.9,207,Slice,Distance,Left/Right,Confidence-inspiring,Normal,Medium,10.5,R,18,game-improvement,Mid
19.0,91.5,224,Fade,Forgiveness,Left/Right,Confidence-inspiring,Normal,Deep,12,R,21,super-game-improvement,High
29.2,82.6,201,Fade,Distance,Left/Right,No preference,Soft,Deep,8,A,18,game-improvement,High
24.5,81.2,194,Slice,Forgiveness,Fat/Thin,Confidence-inspiring,Soft,Deep,12,A,21,super-game-improvement,High
20.2,92.7,225,Fade,Forgiveness,Inconsistent,Confidence-inspiring,Normal,Deep,10.5,R,21,super-game-improvement,High
30.2,60.0,140,Slice,Distance,Fat/Thin,No preference,Normal,Deep,12,L,21,super-game-improvement,High
6.3,111.9,268,Fade,Accuracy,Consistent,No preference,Soft,Medium,8,X,15,blade,High
11.2,97.7,220,Fade,Accuracy,Inconsistent,No preference,Soft,Deep,9,S,16.5,players-distance,High
8.7,105.5,253,Straight,Distance,Consistent,Forged/Blade-like,Firm,Shallow,9,X,15,blade,Mid
13.5,83.9,206,Straight,Forgiveness,Consistent,No preference,Soft,Deep,12,A,21,players-distance,High
4.6,96.9,219,Draw,Accuracy,Fat/Thin,Confidence-inspiring,Firm,Medium,9,R,16.5,players-distance,Low
22.7,82.9,195,Slice,Distance,Inconsistent,Confidence-inspiring,Normal,Deep,8,A,18,super-game-improvement,High
15.0,90.6,205,Hook,Forgiveness,Fat/Thin,No preference,Firm,Deep,12,R,21,game-improvement,Low
3.8,105.6,241,Draw,Distance,Left/Right,No preference,Soft,Shallow,9,X,15,blade,Mid
7.9,106.5,236,Straight,Accuracy,Left/Right,Forged/Blade-like,Firm,Deep,12,A,15,blade,Mid
19.8,72.9,188,Draw,Forgiveness,Left/Right,Forged/Blade-like,Soft,Medium,12,A,21,players-distance,High
24.5,86.6,217,Fade,Distance,Inconsistent,No preference,Firm,Medium,12,R,18,game-improvement,Low
35.0,67.8,166,Fade,Accuracy,Fat/Thin,Confidence-inspiring,Firm,Deep,12,L,21,super-game-improvement,Mid
36.0,65.2,179,Fade,Forgiveness,Inconsistent,Confidence-inspiring,Normal,Shallow,12,L,21,super-game-improvement,Low
20.7,73.9,171,Slice,Distance,Left/Right,No preference,Soft,Deep,12,A,21,players-distance,High
8.1,102.2,280,Straight,Accuracy,Left/Right,Forged/Blade-like,Firm,Medium,9,S,16.5,blade,Low
0.0,91.1,211,Draw,Accuracy,Left/Right,Forged/Blade-like,Firm,Shallow,10.5,R,18,game-improvement,Low
19.4,90.2,215,Draw,Distance,Fat/Thin,Forged/Blade-like,Firm,Deep,10.5,R,18,game-improvement,Mid
9.7,86.4,198,Straight,Accuracy,Inconsistent,Forged/Blade-like,Normal,Deep,10.5,R,18,blade,High
13.3,93.1,224,Slice,Distance,Left/Right,Forged/Blade-like,Firm,Shallow,10.5,R,16.5,players-cb,High
11.5,93.9,232,Draw,Accuracy,Fat/Thin,Confidence-inspiring,Soft,Deep,12,R,16.5,game-improvement,High
15.7,98.1,229,Slice,Distance,Inconsistent,Confidence-inspiring,Firm,Deep,12,S,16.5,game-improvement,Mid
26.6,76.2,202,Slice,Distance,Left/Right,Confidence-inspiring,Soft,Shallow,12,A,21,players-cb,Mid
18.4,82.0,196,Straight,Distance,Inconsistent,No preference,Soft,Medium,10.5,X,18,players-distance,High
15.6,86.5,207,Hook,Forgiveness,Fat/Thin,Confidence-inspiring,Soft,Deep,12,R,21,super-game-improvement,High
7.7,108.1,242,Slice,Accuracy,Left/Right,No preference,Soft,Medium,8,X,15,players-cb,Mid
1.9,109.6,263,Draw,Accuracy,Left/Right,No preference,Soft,Shallow,8,X,15,blade,Mid
12.6,90.8,212,Slice,Accuracy,Inconsistent,Confidence-inspiring,Firm,Shallow,10.5,R,18,super-game-improvement,Low
16.5,87.4,197,Fade,Distance,Fat/Thin,Confidence-inspiring,Normal,Medium,10.5,R,18,game-improvement,Mid
32.9,60.0,131,Slice,Forgiveness,Inconsistent,Confidence-inspiring,Soft,Medium,12,L,21,super-game-improvement,High
18.2,89.8,246,Fade,Forgiveness,Fat/Thin,Forged/Blade-like,Normal,Deep,12,R,21,players-distance,High
25.8,66.0,152,Slice,Distance,Fat/Thin,Confidence-inspiring,Soft,Deep,12,L,21,super-game-improvement,Low
12.5,98.9,213,Straight,Forgiveness,Left/Right,No preference,Soft,Medium,9,A,16.5,game-improvement,High
6.3,101.7,230,Draw,Accuracy,Inconsistent,Forged/Blade-like,Soft,Medium,9,S,16.5,blade,Mid
8.3,115.2,270,Slice,Accuracy,Fat/Thin,Forged/Blade-like,Firm,Deep,8,X,15,blade,Mid
10.5,88.2,214,Straight,Accuracy,Left/Right,Confidence-inspiring,Normal,Deep,10.5,R,15,super-game-improvement,High
36.0,65.9,162,Straight,Forgiveness,Left/Right,Confidence-inspiring,Firm,Medium,12,L,21,super-game-improvement,High
9.6,109.5,266,Hook,Accuracy,Inconsistent,Forged/Blade-like,Firm,Medium,8,X,15,blade,Low
24.5,88.2,199,Hook,Forgiveness,Fat/Thin,Confidence-inspiring,Firm,Deep,12,R,21,super-game-improvement,Mid
8.9,92.9,223,Slice,Accuracy,Consistent,Confidence-inspiring,Normal,Shallow,9,R,16.5,players-cb,Low
25.4,80.4,178,Straight,Forgiveness,Fat/Thin,Confidence-inspiring,Normal,Deep,12,A,21,blade,High
20.5,84.4,190,Draw,Distance,Fat/Thin,Confidence-inspiring,Soft,Shallow,10.5,R,18,super-game-improvement,Mid
15.6,92.0,204,Fade,Forgiveness,Fat/Thin,Confidence-inspiring,Soft,Deep,10.5,R,21,super-game-improvement,High
16.6,84.0,182,Straight,Accuracy,Left/Right,Forged/Blade-like,Soft,Shallow,10.5,R,18,players-distance,Mid
11.1,94.6,236,Straight,Accuracy,Left/Right,Forged/Blade-like,Firm,Deep,10.5,R,16.5,blade,Mid
21.0,72.7,180,Slice,Forgiveness,Fat/Thin,Confidence-inspiring,Normal,Medium,12,A,21,super-game-improvement,High
12.9,94.1,234,Slice,Accuracy,Inconsistent,Forged/Blade-like,Soft,Medium,10.5,R,16.5,players-distance,High
6.0,104.3,246,Straight,Distance,Consistent,Forged/Blade-like,Firm,Medium,9,S,15,blade,Low
5.5,100.1,245,Fade,Accuracy,Left/Right,Forged/Blade-like,Normal,Medium,9,S,16.5,blade,Mid
18.6,75.3,154,Draw,Accuracy,Inconsistent,Forged/Blade-like,Soft,Medium,12,A,21,players-distance,High
31.2,79.0,197,Slice,Accuracy,Left/Right,No preference,Soft,Medium,12,A,21,super-game-improvement,High
18.4,89.4,212,Straight,Distance,Fat/Thin,No preference,Soft,Medium,10.5,R,18,game-improvement,Low
15.9,84.6,207,Slice,Forgiveness,Consistent,Confidence-inspiring,Normal,Medium,12,R,21,game-improvement,Mid
19.6,83.5,201,Draw,Distance,Left/Right,Confidence-inspiring,Normal,Deep,10.5,A,18,game-improvement,High
28.8,64.4,139,Draw,Forgiveness,Fat/Thin,Confidence-inspiring,Normal,Medium,10.5,L,21,super-game-improvement,Mid
19.0,79.0,166,Draw,Distance,Fat/Thin,No preference,Soft,Deep,12,A,21,blade,High
13.3,88.9,200,Draw,Distance,Inconsistent,Forged/Blade-like,Normal,Shallow,10.5,R,18,players-cb,Mid
27.0,85.5,208,Fade,Accuracy,Left/Right,Forged/Blade-like,Normal,Shallow,10.5,R,18,players-distance,Low
20.9,79.5,196,Straight,Accuracy,Left/Right,Confidence-inspiring,Firm,Shallow,12,A,21,super-game-improvement,Low
30.8,77.1,163,Straight,Accuracy,Fat/Thin,Forged/Blade-like,Normal,Deep,12,A,18,game-improvement,High
18.6,82.8,182,Straight,Accuracy,Consistent,Confidence-inspiring,Firm,Deep,10.5,S,18,players-distance,High
6.0,102.8,232,Draw,Forgiveness,Consistent,No preference,Normal,Shallow,9,S,16.5,players-cb,Low
4.7,101.6,234,Draw,Accuracy,Consistent,Forged/Blade-like,Soft,Deep,9,S,16.5,blade,High
31.9,77.4,164,Slice,Forgiveness,Left/Right,Confidence-inspiring,Soft,Medium,12,A,21,super-game-improvement,High
32.5,66.9,139,Slice,Forgiveness,Inconsistent,Confidence-inspiring,Normal,Deep,12,L,21,super-game-improvement,High
15.4,79.3,176,Slice,Forgiveness,Consistent,Forged/Blade-like,Soft,Medium,12,A,21,players-distance,High
13.6,82.7,195,Straight,Accuracy,Inconsistent,Confidence-inspiring,Soft,Deep,10.5,A,18,game-improvement,High
30.2,69.5,148,Slice,Accuracy,Inconsistent,Confidence-inspiring,Normal,Medium,12,L,21,super-game-improvement,Mid
7.0,91.2,213,Fade,Forgiveness,Consistent,Forged/Blade-like,Soft,Shallow,12,R,21,blade,Mid
8.9,100.6,250,Straight,Forgiveness,Consistent,Forged/Blade-like,Normal,Medium,9,S,16.5,blade,Mid
22.8,78.5,168,Slice,Accuracy,Fat/Thin,Confidence-inspiring,Soft,Deep,12,A,21,super-game-improvement,High
13.4,109.2,254,Draw,Forgiveness,Consistent,Confidence-inspiring,Normal,Shallow,8,X,15,players-distance,Low
17.0,76.3,193,Straight,Forgiveness,Inconsistent,Confidence-inspiring,Firm,Deep,12,A,21,super-game-improvement,Mid
15.5,91.6,210,Draw,Forgiveness,Inconsistent,Confidence-inspiring,Firm,Medium,12,R,21,super-game-improvement,Low
20.0,77.1,174,Fade,Accuracy,Inconsistent,Confidence-inspiring,Soft,Medium,12,A,21,super-game-improvement,High
29.7,70.4,181,Slice,Forgiveness,Left/Right,Confidence-inspiring,Firm,Deep,9,L,21,super-game-improvement,Mid
17.8,88.5,204,Fade,Accuracy,Fat/Thin,Confidence-inspiring,Soft,Deep,10.5,R,15,game-improvement,High
22.8,65.5,168,Draw,Distance,Consistent,Confidence-inspiring,Firm,Shallow,12,X,21,game-improvement,Low
0.0,109.7,263,Fade,Distance,Consistent,Forged/Blade-like,Normal,Medium,8,X,15,blade,Mid
16.6,102.2,236,Straight,Forgiveness,Inconsistent,No preference,Normal,Shallow,9,S,16.5,game-improvement,Low
9.4,94.0,227,Draw,Distance,Left/Right,No preference,Normal,Shallow,10.5,R,16.5,players-cb,Low
6.0,102.9,246,Fade,Accuracy,Left/Right,Forged/Blade-like,Firm,Medium,9,S,16.5,blade,Low
9.1,104.7,259,Draw,Accuracy,Left/Right,Forged/Blade-like,Firm,Deep,9,S,15,players-distance,Mid
14.0,90.8,206,Slice,Distance,Fat/Thin,Confidence-inspiring,Normal,Medium,10.5,X,18,super-game-improvement,Mid
25.2,75.0,177,Straight,Forgiveness,Fat/Thin,Confidence-inspiring,Normal,Medium,12,A,21,super-game-improvement,Mid
5.1,86.2,202,Slice,Accuracy,Inconsistent,No preference,Soft,Medium,10.5,R,18,players-cb,High
17.3,92.6,227,Slice,Accuracy,Fat/Thin,No preference,Normal,Deep,10.5,R,16.5,game-improvement,High
12.6,92.7,205,Fade,Accuracy,Inconsistent,No preference,Firm,Shallow,10.5,R,16.5,game-improvement,Low
14.1,84.7,212,Slice,Distance,Left/Right,Confidence-inspiring,Firm,Shallow,10.5,A,18,game-improvement,Low
26.0,79.0,192,Fade,Accuracy,Fat/Thin,No preference,Normal,Deep,12,A,21,game-improvement,High
21.8,78.8,168,Fade,Forgiveness,Fat/Thin,No preference,Normal,Deep,12,A,21,players-cb,High
29.0,71.0,183,Fade,Forgiveness,Inconsistent,No preference,Soft,Medium,12,L,21,blade,High
15.6,94.3,251,Slice,Forgiveness,Left/Right,Confidence-inspiring,Normal,Deep,10.5,R,21,super-game-improvement,High
10.7,86.3,216,Fade,Distance,Left/Right,Forged/Blade-like,Normal,Medium,10.5,R,18,blade,Mid
15.0,98.1,249,Draw,Accuracy,Inconsistent,Confidence-inspiring,Firm,Deep,9,R,16.5,game-improvement,Mid
19.2,76.1,180,Fade,Forgiveness,Inconsistent,Forged/Blade-like,Firm,Medium,12,A,21,game-improvement,Low
18.6,82.0,171,Draw,Distance,Inconsistent,No preference,Soft,Deep,10.5,A,18,game-improvement,High
7.2,113.2,242,Straight,Accuracy,Consistent,Forged/Blade-like,Normal,Shallow,8,X,15,blade,Low
17.8,95.4,228,Slice,Forgiveness,Left/Right,Forged/Blade-like,Normal,Medium,9,R,21,players-distance,Mid
19.1,86.7,196,Draw,Accuracy,Consistent,No preference,Normal,Deep,10.5,R,18,players-cb,High
36.0,60.0,130,Draw,Accuracy,Left/Right,Forged/Blade-like,Firm,Deep,12,L,21,game-improvement,Mid
33.9,65.3,153,Slice,Forgiveness,Inconsistent,Confidence-inspiring,Normal,Deep,12,L,21,super-game-improvement,High
9.3,97.8,238,Slice,Accuracy,Inconsistent,Forged/Blade-like,Normal,Medium,9,S,16.5,players-cb,Mid
14.4,91.7,197,Draw,Accuracy,Left/Right,No preference,Firm,Deep,10.5,X,18,players-distance,Mid
3.8,103.0,236,Slice,Forgiveness,Fat/Thin,Forged/Blade-like,Normal,Deep,9,A,16.5,players-cb,High
11.7,94.3,241,Draw,Distance,Fat/Thin,No preference,Normal,Medium,10.5,R,16.5,players-distance,Mid
19.8,83.7,183,Straight,Forgiveness,Inconsistent,Forged/Blade-like,Firm,Medium,12,A,21,game-improvement,Low
27.9,65.8,166,Hook,Accuracy,Fat/Thin,Confidence-inspiring,Normal,Medium,12,L,21,super-game-improvement,Mid
10.4,92.4,211,Hook,Accuracy,Fat/Thin,Confidence-inspiring,Soft,Shallow,10.5,R,16.5,game-improvement,Mid
